INDIAN_ROAD_CATEGORY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Length of All Roads,2473520,2526600,2601957,2669996,2962463,3014063,3119923,3174620,3571510,3682439,3790342,3965394,4331922,4502486,4572144,4703293,4997671,5315797,,,,,
Length of National Highways,57737,58112,58112,65569,65569,66590,66590,66754,70548,70934,70934,76818,79116,91287,97991,101011,114158,126350,132500,132995,136440,,
Length of National Highways - Double Lane,33969,36510,35699,39167,39167,37238,37401,38621,37346,37488,36650,40720,40658,45399,45701,55603,58910,,,,,,
Length of National Highways - Multi Lane,1266,2306,2802,6627,6627,7856,8311,10029,13086,15315,17182,19100,19128,18372,21201,24705,26347,,,,,,
Length of National Highways - Single Lane,22444,19190,19505,19564,19564,21496,20878,18104,20116,18131,17102,16998,19330,27516,31089,20703,28901,,,,,,
Length of Road Construction/Upgradation awarded during the year by NHAI,,,,,,,1730,1234,643,3359,5058,6491,1116,1435,3103,4658,4366,7396,2228,3211,4788,5960,6003
Length of Roads Constructured/Upgraded during the year by NHAI,,,,,,,636,1684,2205,2693,1783,2248,2844,1901,1510,1937,2588,2993,3264,3979,4192,4010,4882
Length of Rural Roads,1972016,2061023,2082188,2140569,2266439,2308125,2393488,2450559,2629165,2692535,2749804,1938220,2259639,2404328,2437255,3035337,3266916,3509582,,,,,
Length of State Highways,132100,137711,134807,133177,144396,148090,152235,154522,158497,160177,163898,164360,169227,170818,167109,176166,175036,186908,186528,,,,
Length of State Highways - Double Lane,29320,32237,30263,31733,35374,37806,36405,39339,51153,54223,58093,,68750,71098,69856,,,,,,,,
Length of State Highways - Multi Lane,1585,2020,928,1471,2189,2610,2305,2742,4845,6082,6559,,9158,9396,10315,,,,,,,,
Length of State Highways - Single Lane,88869,89719,83126,80023,102712,104142,111983,109078,100717,97897,97268,,89311,88459,85101,,,,,,,,
Length of Urban Roads,252001,250295,297259,301310,286707,291991,300580,304327,373802,402448,411679,464294,446238,457467,467106,509730,526483,534142,544683,,,,
